Park Name,Park Category,Description,Address Line 1,Address Line 2,Address Line 3,City,State,Zip Code,Phone Number
Zion,National Park,"Follow the paths where native people and pioneers walked. Gaze up at massive sandstone cliffs of cream, pink, and red that soar into a brilliant blue sky. Experience wilderness in a narrow slot canyon. Zion’s unique array of plants and animals will enchant you as you absorb the rich history of the past and enjoy the excitement of present day adventures.",Zion National Park,1 Zion Park Blvd.,State Route 9,Springdale,UT,84767,(435) 772-3256
Appalachian,National Scenic Trail,"The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers.",Appalachian Trail Park Office,P.O. Box 50,,Harpers Ferry,WV,25425,304 535-6278
Marsh - Billings - Rockefeller,National Historical Park,"Experience wintry conditions and bracing temperatures along both groomed cross-country ski  trails and natural snowshoe trails in the folded hilly landscape of the park. Reflect on the story of stewardship, of people taking care of places – sharing an enduring connection to the land - as you observe the tall trees, wildlife and experience the peacefulness of the woods.",54 Elm Street,,,Woodstock,VT,5091,802-457-3368
North Country,National Scenic Trail,"Come to the North Country. Trek the hills and valleys. Stand on the shores of lakes & streams from glaciers 10,000 years before. Clear-flowing water, red/gold of autumn, a fairyland of snow, open prairies, and distant horizons paint the land. Historic sites along the way tell how America settled and grew as a nation. From North Dakota to Vermont, adventure is never far away.","318 East Main Street, Suite K",,,Lowell,MI,49331,616 319-7906
Buck Island Reef,National Monument,"Welcome to Buck Island! Before you come, please watch our 2014 Telly Award winning film ""Caribbean Gem."" Watching this will catch you up on 50+ years of National Park Service protection and civic engagement. Learn what we do every day to preserve this resource for Virgin Islanders and visitors alike.
For the General Management Plan and Environmental Compliance, visit the News page.",2100 Church St. #100,,,"Christiansted, St. Croix",VI,820,(340) 773.1460
Christiansted,National Historic Site,"Christiansted National Historic Site was established in 1952 as the first unit of the National Park Service in the Virgin Islands of the United States. Covering over seven acres the park tells the stories about Danish economy and ways of life, and the interactions of people in Europe, Africa, West Indies, and North America during the Danish era of occupation of the Virgin Islands (1734-1917).",2100 Church St. #100,,,Christiansted,VI,820,(340) 773.1460
Salt River Bay,National Historical Park and Ecological Preserve,Salt River Bay National Historical Park and Ecological Preserve uniquely documents the human and natural Caribbean world from the earliest indigenous settlements in the central Caribbean to their clash with seven different colonial European powers to the present day.,2100 Church St. #100,,,Christiansted,VI,820,(340) 773.1460
Virgin Islands,National Park,"Go beyond Virgin Islands National Park's stunning white-sand beaches. Hike to historic plantation sites to learn about a challenging past when sugar and enslaved labor dominated life on the island. Visit the Indigenous Taino's ancient petroglyphs. Snorkel coral reefs to discover hidden marine life. Two-thirds of the island of St. John is national park, making it a unique destination for visitors.",1300 Cruz Bay Creek,,,St. John,VI,830,340 776-6201
Virgin Islands Coral Reef,National Monument,Virgin Islands Coral Reef National Monument includes federal submerged lands within the 3-mile belt off the island of St. John. These waters support a diverse and complex system of coral reefs and other ecosystems such as shoreline mangrove forests and seagrass beds.,1300 Cruz Bay Creek,,,St. John,VI,830,340 776-6201
Appalachian,National Scenic Trail,"The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers.",Appalachian Trail Park Office,P.O. Box 50,,Harpers Ferry,WV,25425,304 535-6278
Appomattox Court House,National Historical Park,"On April 9, 1865, the surrender of the Army of Northern Virginia in the McLean House in the village of Appomattox Court House, Virginia signaled the end of the nation's largest war. Two important questions about its future were answered. Could the nation survive a civil war intact, and would that nation exist without slavery? The answer to both was yes and a new nation was born.",Appomattox Court House National Historical Park,P.O. Box 218,,Appomattox,VA,24522,434 352-8987
"Arlington House, The Robert  E. Lee Memorial",,"Arlington House is the nation’s memorial to Robert E. Lee. It honors him for specific reasons, including his role in promoting peace and reunion after the Civil War. In a larger sense it exists as a place of study and contemplation of the meaning of some of the most difficult aspects of American history: military service; sacrifice; citizenship; duty; loyalty; slavery and freedom.","Arlington House, The Robert E. Lee Memorial",700 George Washington Memorial Parkway,c/o Turkey Run Park,McLean,VA,22101,703 235-1530
Assateague Island,National Seashore,"Want to live on the edge? Visit a place recreated each day by ocean wind and waves. Life on Assateague Island has adapted to an existence on the move. Explore sandy beaches, salt marshes, maritime forests and coastal bays. Rest, relax, recreate and enjoy some time on the edge of the continent.",7206 National Seashore Lane,,,Berlin,MD,21811,410 641-1441
Blue Ridge,Parkway,"A Blue Ridge Parkway experience is unlike any other: a slow-paced and relaxing drive revealing stunning long-range vistas and close-up views of the rugged mountains and pastoral landscapes of the Appalachian Highlands. The Parkway meanders for 469 miles, protecting a diversity of plants and animals, and providing opportunities for enjoying all that makes this region of the country so special.",199 Hemphill Knob Rd,,,Asheville,NC,28803,828 348-3400
Booker T Washington,National Monument,"Booker T. Washington was born a slave in April 1856 on the 207-acre farm of James Burroughs. After the Civil War, Washington became the first principal of Tuskegee Normal and Industrial School. Later as an adviser, author and orator, his past would influence his philosophies as the most influential African American of his era. Come explore his birthplace.",12130 Booker T. Washington Highway,,,Hardy,VA,24101,540 721-2094
Cape Henry Memorial,Part of Colonial National Historical Park,"English colonists first landed here in April 1607, erected a wooden cross and gave thanks for a successful crossing to a new land. In 1781, Americans could watch from these same sand dunes the largest naval battle of the Revolutionary War. Our French Allies defeated a British fleet just off this shore to set the stage for General George Washington's victory at Yorktown.",Colonial National Historical Park P.O. Box 210,,,Yorktown,VA,23690,757 898-2410
Captain John Smith Chesapeake,National Historic Trail,"People first arrived in the Chesapeake Bay during the last ice age. As glaciers melted, diverse societies learned to thrive in a world of water. When Englishman Captain John Smith explored the Bay in 1608, he documented hundreds of American Indian communities. Today, sites on his map are archeological treasures and sacred sites for tribal citizens. Come join us on the shores of the Chesapeake Bay!",P.O. Box 210,,,Yorktown,VA,23690,(757) 856-1220
